,Genus,Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth
111,Sloth,Three-Toed Sloth/ Sloth,46-60,3.6-9,Gray/ Brown,10-16,Herbivore,Rainforests,Harpy Eagles/ Jaguars,0.03-20,Central and South America,Least Concern,Bradypodidae,120-40,0.03-20,Solitary,1-2
112,Spider,Brazilian Wandering Spider,5,0.006,Brown,1-2,Carnivore,Forests,Mammals/ Birds,?,South and Central America,Not Evaluated,Ctenidae,21-35,?,Solitary,"1,000"
113,Tamarin,Golden Lion Tamarin/ Emperor Tamarin,23-35,0.7-400,White/ Golden/ Reddish-brown/ Black,10-15,Omnivore,Tropical Rainforests/ Rainforests,Hawks/ Snakes/ Birds,13-8,Amazon Rainforest/ Brazil/ Southeastern Bahia,Least Concern/ Endangered,Callitrichidae,125-145,13-8,Group-based/ Social groups,1-3
114,Tapir,Baird's Tapir/ Tapir,107-76,150-400,Black/ Brown,25-30,Herbivore,Grasslands/ Rainforests,Jaguars/ Crocodiles,48,Central and South America/ South and Central America,Vulnerable/ Endangered,Tapiridae,390-395,48,Solitary,1
115,Tarsier,Tarsier,16,0.2,Gray/ Brown,12-20,Insectivore,Rainforests,Snakes/ Birds,40-50,Southeast Asia/ Philippines,Vulnerable,Tarsiidae,180-210,40-50,Solitary,1
116,Termite,Termite,0.5,0.02,Varies,?,Herbivore,Grasslands/ Forests,Not Applicable,?,Worldwide,Not Applicable,Termitoidae,?,?,Social groups,?
117,Tiger,Tasmanian Tiger/ Sumatran Tiger/ Bengal Tiger/ Tiger/ White Tiger,100-90,100-47,White/ Yellow-brown/ Black Stripes/ Orange/ Black,10-7,Carnivore,Grasslands/ Mangroves/ Australia/ Rainforests,Leopards/ Crocodiles/ Dingoes/ Humans,22-72,India/ Asia/ Bangladesh/ Russia/ Southeast Asia/ Sumatra/ Australia/ Nepal,Critically Endangered/ Extinct/ Endangered,Felidae/ Thylacinidae,104-310,22-72,Solitary,1-5
118,Titanoboa,Titanoboa,1440,24950,Dark Brown,10-15,Carnivore,Wetlands,Fish/ Crocodiles,27,South America,Extinct (around 58 million years ago),Boidae,420-470,27,Solitary,?
119,Tortoise,Galápagos Tortoise,183,417,Grey/ Brown,100-150,Herbivore,Galápagos Islands,Rats/ Humans,0.3-0.5,Galápagos Islands,Vulnerable,Testudinidae,135,0.3,Solitary,16
120,Toucan,Toco Toucan,55-65,540-700,Yellow/ Orange/ Black,10-6,Omnivore,Rainforests,Jaguars/ Birds of Prey,29-42,South America,Least Concern,Ramphastidae,17-20,56-64,Flocks,2-4
121,Tuatara,Tuatara,80,1.5,Grayish-brown,100,Insectivore/ Carnivore,Islands/ Coastal Areas,Cats/ Rats,0.03,New Zealand,Vulnerable,Rhynchocephalia,12-15,?,Solitary,16
122,Turtle,Green Sea Turtle/ Common Snapping Turtle,120-70,16-68,Greenish-brown/ Gray/ Green/ Brown,100-80,Herbivore/ Omnivore,Oceans/ Coastal Areas/ Freshwater,Raccoons/ Orcas/ Sharks/ Predatory Fish/ Birds,1.6-35,Oceans worldwide/ Worldwide/ North America,Least Concern/ Endangered,Cheloniidae/ Chelydridae,40-80,35,Solitary,20-30
123,Uakari,Uakari,46-56,2-3,Bald/ Red,10-15,Omnivore,Rainforests,Jaguars/ Snakes,20,Amazon Basin,Vulnerable,Pitheciidae,120-130,20,Group-based,1-6
124,Vaquita,Vaquita,150,55,White/ Grey,20-21,Carnivore,Gulf of California,Nets/ Sharks,?,Mexico/ Gulf of California,Critically Endangered,Phocoenidae,10-11 months,?,Solitary,1
125,Vulture,Vulture,?,?,Brown/ Black,?,Carnivore,Various,Not Applicable,?,Americas/ Africa/ Asia,Varies,Accipitridae,?,?,Social groups,?
126,Walrus,Walrus,3200,1200,Brown,40-50,Carnivore,Arctic/ Coastal Areas,Polar Bears/ Orcas,40,Arctic/ Subarctic,Least Concern,Odobenidae,20-25,40,Group-based,200
127,Warthog,Warthog,150-85,150-60,Black/ Brown,15-20,Omnivore,Grasslands/ Savannahs,Lions/ Leopards,20,Sub-Saharan Africa,Least Concern,Suidae,160-220,20,Group-based,32-4
128,Whale,Sperm Whale/ Humpback Whale/ Blue Whale,1700-33.5m,200 tons-57000,Blue-grey/ White/ Gray/ Black,45-90,Filter Feeder/ Omnivore/ Carnivore,Oceans,Orcas,24-60,Oceans worldwide/ Worldwide,Least Concern/ Vulnerable/ Endangered,Balaenopteridae/ Physeteridae,10-60,24-60,Solitary,1-1 (rarely 2)
129,Wildebeest,Wildebeest,170-250,200-390,Gray/ Black,20-25,Herbivore,Grasslands,Lions/ Crocodiles,47,Eastern and Southern Africa,Least Concern,Bovidae,240-270,47,Group-based,1-1000
130,Wolf,Wolf/ Maned Wolf,107-81,20-80,White/ Gray/ Reddish-Brown,13-8,Omnivore/ Carnivore,Grasslands/ Forests,Jaguars/ Humans/ Pumas/ Bears,45-56,Eurasia/ South America/ North Africa/ North America,Least Concern/ Near Threatened,Canidae,160-90,45-56,Group-based/ Solitary,2-6
131,Wolverine,Wolverine,30-45,25-9,Dark Brown,12-7,Scavenger/ Carnivore,Tundra/ Boreal Forests,Wolves/ Bears,56-70,Europe/ Asia/ North America,Least Concern,Mustelidae,40-45,56-70,Solitary,2-3
132,Wombat,Wombat,118-84,20-35,Gray/ Brown,10-5,Herbivore,Grasslands/ Forests,Tasmanian Devils/ Dingoes,20,Australia,Least Concern,Vombatidae,126-138,20,Solitary,1
133,Woodpecker,Woodpecker,18-6.7,0.02-0.07,Varies,?,Insectivore,Forests,Snakes/ Birds,?,Worldwide,Not Applicable,Picidae,?,?,Solitary,?
134,Yak,Yak,140-160,1200-500,Black/ Brown,20-25,Herbivore,Mountains,Wolves/ Snow Leopards,24,Himalayas/ Central Asia,Least Concern,Bovidae,215-280,24,Group-based,10-50
135,Zebra,Grevy's Zebra/ Zebra,130-340,350-900,White/ Black,20-30,Herbivore,Grasslands,Hyenas/ Lions,25-64,Africa/ Eastern Africa,Least Concern/ Endangered,Equidae,180-396,25-64,Group-based/ Herd-based,1-5
